Month,Year,PRODUCTS,TRADE,"Quantity (000 Metric Tonnes)","Value in Rupees (Crore)","Value in Dollars (Million US dollar)",date_updated
September,2022,SKO,Export,0.79,7.45,0.93,"2024-02-21 04:02:12"
September,2022,HSD,Export,2689.17,21040.05,2618.69,"2024-02-21 04:02:12"
September,2022,LDO,Export,0.12,1.00,0.13,"2024-02-21 04:02:12"
September,2022,"LOBS/ Lube Oil",Export,0.73,13.62,1.69,"2024-02-21 04:02:12"
September,2022,"Fuel Oil",Export,155.73,546.32,71.63,"2024-02-21 04:02:12"
September,2022,Bitumen,Export,2.11,10.24,1.26,"2024-02-21 04:02:12"
September,2022,"Petcoke / CBFS",Export,16.50,13.80,1.73,"2024-02-21 04:02:12"
September,2022,Others%,Export,254.49,1225.17,152.61,"2024-02-21 04:02:12"
September,2022,"TOTAL  PRODUCT EXPORT",Export,4988.67,35357.33,4411.25,"2024-02-21 04:02:12"
September,2022,"NET IMPORT",Export,14944.49,74658.55,9263.03,"2024-02-21 04:02:12"
October,2022,"CRUDE OIL",Import,18123.45,99194.38,12086.55,"2024-02-21 04:02:12"
October,2022,LPG,Import,1420.89,6864.87,835.86,"2024-02-21 04:02:12"
October,2022,MS,Import,327.48,2433.86,295.82,"2024-02-21 04:02:12"
October,2022,Naphtha,Import,134.80,636.94,77.28,"2024-02-21 04:02:12"
October,2022,ATF,Import,,,,"2024-02-21 04:02:12"
October,2022,HSD,Import,10.30,91.97,11.17,"2024-02-21 04:02:12"
October,2022,"LOBS/ Lube oil",Import,212.25,1887.51,229.29,"2024-02-21 04:02:12"
October,2022,"Fuel Oil",Import,654.76,2472.89,300.61,"2024-02-21 04:02:12"
October,2022,Bitumen,Import,225.99,773.57,93.96,"2024-02-21 04:02:12"
October,2022,Petcoke,Import,855.05,1587.72,192.82,"2024-02-21 04:02:12"
October,2022,Others&,Import,96.27,604.48,73.42,"2024-02-21 04:02:12"
October,2022,"PRODUCT IMPORT*",Import,3937.79,17353.81,2110.24,"2024-02-21 04:02:12"
October,2022,"TOTAL IMPORT",Import,22061.24,116548.20,14196.80,"2024-02-21 04:02:12"
October,2022,LPG,Export,43.28,278.24,33.91,"2024-02-21 04:02:12"
October,2022,MS!,Export,500.76,3312.67,403.21,"2024-02-21 04:02:12"
October,2022,Naphtha$,Export,371.58,2009.05,244.07,"2024-02-21 04:02:12"
October,2022,ATF#,Export,639.48,5347.42,649.99,"2024-02-21 04:02:12"
October,2022,SKO,Export,0.72,6.42,0.78,"2024-02-21 04:02:12"
October,2022,HSD,Export,2062.15,17901.67,2174.71,"2024-02-21 04:02:12"
October,2022,LDO,Export,0.15,1.26,0.15,"2024-02-21 04:02:12"
October,2022,"LOBS/ Lube Oil",Export,0.47,7.89,0.96,"2024-02-21 04:02:12"
October,2022,"Fuel Oil",Export,229.38,968.50,117.40,"2024-02-21 04:02:12"
October,2022,Bitumen,Export,2.13,10.96,1.34,"2024-02-21 04:02:12"
October,2022,"Petcoke / CBFS",Export,,,,"2024-02-21 04:02:12"
October,2022,Others%,Export,123.09,852.02,103.31,"2024-02-21 04:02:12"
October,2022,"TOTAL  PRODUCT EXPORT",Export,3973.19,30696.12,3729.84,"2024-02-21 04:02:12"
October,2022,"NET IMPORT",Export,18088.05,85852.09,10466.95,"2024-02-21 04:02:12"
November,2022,"CRUDE OIL",Import,19003.28,100258.76,12252.89,"2024-02-21 04:02:12"
November,2022,LPG,Import,1778.00,9211.22,1121.62,"2024-02-21 04:02:12"
November,2022,MS,Import,211.36,1620.16,196.87,"2024-02-21 04:02:12"
November,2022,Naphtha,Import,27.56,173.61,21.19,"2024-02-21 04:02:12"
November,2022,ATF,Import,,,,"2024-02-21 04:02:12"
November,2022,HSD,Import,6.62,66.54,8.13,"2024-02-21 04:02:12"
November,2022,"LOBS/ Lube oil",Import,159.27,1420.51,173.54,"2024-02-21 04:02:12"
November,2022,"Fuel Oil",Import,568.74,2037.90,248.84,"2024-02-21 04:02:12"
November,2022,Bitumen,Import,348.96,1105.44,135.11,"2024-02-21 04:02:12"
November,2022,Petcoke,Import,846.85,1709.94,209.01,"2024-02-21 04:02:12"
November,2022,Others&,Import,94.41,673.20,82.28,"2024-02-21 04:02:12"
November,2022,"PRODUCT IMPORT*",Import,4041.79,18018.52,2196.60,"2024-02-21 04:02:12"
November,2022,"TOTAL IMPORT",Import,23045.07,118277.27,14449.49,"2024-02-21 04:02:12"
November,2022,LPG,Export,41.99,254.63,30.93,"2024-02-21 04:02:12"
November,2022,MS!,Export,842.56,5736.16,692.06,"2024-02-21 04:02:12"
November,2022,Naphtha$,Export,423.19,2335.96,285.16,"2024-02-21 04:02:12"
November,2022,ATF#,Export,591.10,4880.10,595.76,"2024-02-21 04:02:12"
November,2022,SKO,Export,0.86,8.03,0.98,"2024-02-21 04:02:12"
November,2022,HSD,Export,1978.59,15873.61,1940.43,"2024-02-21 04:02:12"
November,2022,LDO,Export,0.13,1.20,0.15,"2024-02-21 04:02:12"
November,2022,"LOBS/ Lube Oil",Export,0.80,11.48,1.40,"2024-02-21 04:02:12"
November,2022,"Fuel Oil",Export,158.57,720.73,88.32,"2024-02-21 04:02:12"
November,2022,Bitumen,Export,0.09,0.48,0.06,"2024-02-21 04:02:12"
November,2022,"Petcoke / CBFS",Export,,,,"2024-02-21 04:02:12"
November,2022,Others%,Export,229.29,1278.51,156.16,"2024-02-21 04:02:12"
November,2022,"TOTAL  PRODUCT EXPORT",Export,4267.17,31100.89,3791.40,"2024-02-21 04:02:12"
November,2022,"NET IMPORT",Export,18777.89,87176.38,10658.09,"2024-02-21 04:02:12"
December,2022,"CRUDE OIL",Import,19617.71,94253.23,11445.03,"2024-02-21 04:02:12"
December,2022,LPG,Import,1718.16,9489.08,1159.21,"2024-02-21 04:02:12"
December,2022,MS,Import,119.99,841.68,102.65,"2024-02-21 04:02:12"
December,2022,Naphtha,Import,88.43,388.05,46.98,"2024-02-21 04:02:12"
December,2022,ATF,Import,,,,"2024-02-21 04:02:12"
December,2022,HSD,Import,13.15,118.05,14.32,"2024-02-21 04:02:12"
December,2022,"LOBS/ Lube oil",Import,139.06,1204.50,146.22,"2024-02-21 04:02:12"
December,2022,"Fuel Oil",Import,963.12,2952.31,359.00,"2024-02-21 04:02:12"
December,2022,Bitumen,Import,282.50,1021.87,123.92,"2024-02-21 04:02:12"
December,2022,Petcoke,Import,595.31,971.63,117.82,"2024-02-21 04:02:12"
December,2022,Others&,Import,130.53,855.07,103.70,"2024-02-21 04:02:12"
December,2022,"PRODUCT IMPORT*",Import,4050.24,17842.24,2173.82,"2024-02-21 04:02:12"
December,2022,"TOTAL IMPORT",Import,23667.95,112095.48,13618.85,"2024-02-21 04:02:12"
December,2022,LPG,Export,44.77,276.83,33.95,"2024-02-21 04:02:12"
December,2022,MS!,Export,1242.11,8138.87,995.62,"2024-02-21 04:02:12"
December,2022,Naphtha$,Export,440.81,2245.72,273.36,"2024-02-21 04:02:12"
December,2022,ATF#,Export,623.58,4543.68,552.60,"2024-02-21 04:02:12"
December,2022,SKO,Export,0.89,8.24,1.01,"2024-02-21 04:02:12"
December,2022,HSD,Export,2412.60,17381.54,2109.28,"2024-02-21 04:02:12"
December,2022,LDO,Export,0.19,1.52,0.19,"2024-02-21 04:02:12"
December,2022,"LOBS/ Lube Oil",Export,0.58,10.10,1.23,"2024-02-21 04:02:12"
December,2022,"Fuel Oil",Export,247.84,925.51,112.04,"2024-02-21 04:02:12"
December,2022,Bitumen,Export,0.19,0.45,0.06,"2024-02-21 04:02:12"
December,2022,"Petcoke / CBFS",Export,,,,"2024-02-21 04:02:12"
December,2022,Others%,Export,684.25,3372.83,408.61,"2024-02-21 04:02:12"
December,2022,"TOTAL  PRODUCT EXPORT",Export,5697.81,36905.29,4487.94,"2024-02-21 04:02:12"
December,2022,"NET IMPORT",Export,17970.14,75190.20,9130.91,"2024-02-21 04:02:12"
January,2023,"CRUDE OIL",Import,20229.31,92441.85,11350.71,"2024-02-21 04:02:12"
January,2023,LPG,Import,1709.11,8825.40,1070.50,"2024-02-21 04:02:12"
January,2023,MS,Import,0.01,0.27,0.03,"2024-02-21 04:02:12"
January,2023,Naphtha,Import,40.51,184.15,22.61,"2024-02-21 04:02:12"
January,2023,ATF,Import,,,,"2024-02-21 04:02:12"
January,2023,HSD,Import,4.65,45.50,5.56,"2024-02-21 04:02:12"
January,2023,"LOBS/ Lube oil",Import,139.03,1183.35,144.46,"2024-02-21 04:02:12"
January,2023,"Fuel Oil",Import,893.44,2764.80,337.55,"2024-02-21 04:02:12"
January,2023,Bitumen,Import,268.84,914.55,111.68,"2024-02-21 04:02:12"
January,2023,Petcoke,Import,515.66,1356.03,165.57,"2024-02-21 04:02:12"
January,2023,Others&,Import,211.15,1177.07,143.98,"2024-02-21 04:02:12"
January,2023,"PRODUCT IMPORT*",Import,3782.39,16451.11,2001.93,"2024-02-21 04:02:12"
January,2023,"TOTAL IMPORT",Import,24011.70,108892.97,13352.64,"2024-02-21 04:02:12"
January,2023,LPG,Export,47.96,315.53,37.97,"2024-02-21 04:02:12"
January,2023,MS!,Export,1165.30,8424.65,1035.62,"2024-02-21 04:02:12"
January,2023,Naphtha$,Export,333.14,1812.00,220.44,"2024-02-21 04:02:12"
January,2023,ATF#,Export,567.87,4429.26,541.67,"2024-02-21 04:02:12"
January,2023,SKO,Export,0.88,7.30,0.88,"2024-02-21 04:02:12"
January,2023,HSD,Export,1990.66,14375.32,1755.37,"2024-02-21 04:02:12"
January,2023,LDO,Export,0.11,0.84,0.10,"2024-02-21 04:02:12"
January,2023,"LOBS/ Lube Oil",Export,0.69,10.37,1.27,"2024-02-21 04:02:12"
January,2023,"Fuel Oil",Export,179.19,685.22,83.35,"2024-02-21 04:02:12"
January,2023,Bitumen,Export,0.04,0.20,0.02,"2024-02-21 04:02:12"
January,2023,"Petcoke / CBFS",Export,,,,"2024-02-21 04:02:12"
January,2023,Others%,Export,215.48,1201.61,145.91,"2024-02-21 04:02:12"
January,2023,"TOTAL  PRODUCT EXPORT",Export,4501.31,31262.31,3822.60,"2024-02-21 04:02:12"
January,2023,"NET IMPORT",Export,19510.39,77630.66,9530.04,"2024-02-21 04:02:12"
February,2023,"CRUDE OIL",Import,19284.87,85798.26,10421.18,"2024-02-21 04:02:12"
February,2023,LPG,Import,1647.48,10878.43,1319.93,"2024-02-21 04:02:12"
February,2023,MS,Import,,,,"2024-02-21 04:02:12"
February,2023,Naphtha,Import,127.55,687.10,83.30,"2024-02-21 04:02:12"
February,2023,ATF,Import,,,,"2024-02-21 04:02:12"
February,2023,HSD,Import,9.79,43.61,5.28,"2024-02-21 04:02:12"
February,2023,"LOBS/ Lube oil",Import,184.28,1514.67,183.40,"2024-02-21 04:02:12"
February,2023,"Fuel Oil",Import,640.15,1893.73,229.43,"2024-02-21 04:02:12"
February,2023,Bitumen,Import,295.97,986.62,119.43,"2024-02-21 04:02:12"
February,2023,Petcoke,Import,724.77,1351.38,163.59,"2024-02-21 04:02:12"
February,2023,Others&,Import,88.79,589.71,71.39,"2024-02-21 04:02:12"
February,2023,"PRODUCT IMPORT*",Import,3718.78,17945.25,2175.74,"2024-02-21 04:02:12"
February,2023,"TOTAL IMPORT",Import,23003.66,103743.51,12596.92,"2024-02-21 04:02:12"
February,2023,LPG,Export,42.98,267.80,32.57,"2024-02-21 04:02:12"
February,2023,MS!,Export,1379.50,9774.35,1176.40,"2024-02-21 04:02:12"
February,2023,Naphtha$,Export,416.01,2342.99,284.20,"2024-02-21 04:02:12"
February,2023,ATF#,Export,649.61,4604.41,556.73,"2024-02-21 04:02:12"
February,2023,SKO,Export,0.52,4.51,0.55,"2024-02-21 04:02:12"
February,2023,HSD,Export,2150.57,14676.25,1775.15,"2024-02-21 04:02:12"
February,2023,LDO,Export,0.14,1.15,0.14,"2024-02-21 04:02:12"
February,2023,"LOBS/ Lube Oil",Export,0.48,6.74,0.82,"2024-02-21 04:02:12"
February,2023,"Fuel Oil",Export,75.89,324.54,39.39,"2024-02-21 04:02:12"
February,2023,Bitumen,Export,0.37,1.31,0.16,"2024-02-21 04:02:12"
February,2023,"Petcoke / CBFS",Export,22.00,24.49,2.97,"2024-02-21 04:02:12"
February,2023,Others%,Export,319.99,1738.24,210.57,"2024-02-21 04:02:12"
February,2023,"TOTAL  PRODUCT EXPORT",Export,5058.06,33766.77,4079.65,"2024-02-21 04:02:12"
February,2023,"NET IMPORT",Export,17945.60,69976.74,8517.27,"2024-02-21 04:02:12"
March,2023,"CRUDE OIL",Import,20928.04,89613.48,10894.97,"2024-02-21 04:02:12"
March,2023,LPG,Import,1410.44,8766.62,1061.02,"2024-02-21 04:02:12"
March,2023,MS,Import,,,,"2024-02-21 04:02:12"
March,2023,Naphtha,Import,98.26,441.55,53.97,"2024-02-21 04:02:12"
March,2023,ATF,Import,,,,"2024-02-21 04:02:12"
March,2023,HSD,Import,3.86,29.77,3.62,"2024-02-21 04:02:12"
March,2023,"LOBS/ Lube oil",Import,174.61,1401.02,170.25,"2024-02-21 04:02:12"
March,2023,"Fuel Oil",Import,745.11,2072.38,251.78,"2024-02-21 04:02:12"
March,2023,Bitumen,Import,347.58,1186.78,144.22,"2024-02-21 04:02:12"
March,2023,Petcoke,Import,1182.91,2179.56,264.87,"2024-02-21 04:02:12"
March,2023,Others&,Import,389.10,1964.51,238.84,"2024-02-21 04:02:12"
March,2023,"PRODUCT IMPORT*",Import,4351.88,18042.18,2188.56,"2024-02-21 04:02:12"
March,2023,"TOTAL IMPORT",Import,25279.92,107655.66,13083.53,"2024-02-21 04:02:12"
March,2023,LPG,Export,51.81,399.08,48.12,"2024-02-21 04:02:12"
March,2023,MS!,Export,1508.12,10501.45,1279.31,"2024-02-21 04:02:12"
March,2023,Naphtha$,Export,511.34,2820.72,342.07,"2024-02-21 04:02:12"
March,2023,ATF#,Export,786.49,5010.41,608.44,"2024-02-21 04:02:12"
March,2023,SKO,Export,0.84,7.02,0.85,"2024-02-21 04:02:12"
March,2023,HSD,Export,2482.88,15541.50,1888.65,"2024-02-21 04:02:12"
March,2023,LDO,Export,0.16,1.23,0.15,"2024-02-21 04:02:12"
March,2023,"LOBS/ Lube Oil",Export,2.04,66.14,8.06,"2024-02-21 04:02:12"
March,2023,"Fuel Oil",Export,141.24,559.10,68.09,"2024-02-21 04:02:12"
March,2023,Bitumen,Export,2.56,11.85,1.45,"2024-02-21 04:02:12"
March,2023,"Petcoke / CBFS",Export,123.19,272.24,33.14,"2024-02-21 04:02:12"
March,2023,Others%,Export,435.15,1647.61,199.86,"2024-02-21 04:02:12"
March,2023,"TOTAL  PRODUCT EXPORT",Export,6045.82,36838.36,4478.18,"2024-02-21 04:02:12"
March,2023,"NET IMPORT",Export,19234.10,70817.30,8605.35,"2024-02-21 04:02:12"
